epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8693,1.1651,3.00308,3.5527,1.40304,0.45223,0.02946,0.09564,0.05969,0.44207,0.02507,0.08122,0.04742,1.40112,3.18603,3.42316,1.73195,0.000328947,0.000328947,0.000328947
2,20.0561,1.29108,2.7961,2.96279,1.45496,0.18689,0.22403,0.14035,0.07296,0.14709,0.16732,0.09551,0.04368,1.81142,3.71908,3.57554,2.10833,0.00065791,0.00065791,0.00065791
3,29.0429,1.40368,3.09181,2.82267,1.54637,0.08053,0.17621,0.06956,0.03326,0.07402,0.14064,0.05398,0.02524,1.85695,4.14394,3.79917,2.19162,0.000982472,0.000982472,0.000982472
4,37.8261,1.41557,2.98992,2.68128,1.54682,0.06049,0.16755,0.04747,0.02822,0.04019,0.06954,0.03274,0.01887,1.8824,5.57524,5.35113,2.44482,0.0009802,0.0009802,0.0009802
5,46.683,1.37395,2.9175,2.53582,1.51873,0.27385,0.14602,0.14635,0.0869,0.2773,0.1203,0.13049,0.05988,1.8181,3.3813,3.10694,2.03389,0.0009736,0.0009736,0.0009736
6,55.4593,1.33426,2.85704,2.40285,1.49076,0.0845,0.23897,0.09813,0.04551,0.08028,0.20423,0.08136,0.03405,1.837,3.30295,3.33772,2.13332,0.000967,0.000967,0.000967
7,64.2389,1.30073,2.77709,2.32079,1.46013,0.19821,0.14962,0.11773,0.0699,0.18915,0.14008,0.1016,0.05313,1.70172,3.18973,2.95986,1.98075,0.0009604,0.0009604,0.0009604
8,73.1179,1.29061,2.63404,2.25137,1.4507,0.14636,0.23346,0.11397,0.06387,0.11321,0.17492,0.08996,0.04155,1.67241,3.32928,3.09316,1.97027,0.0009538,0.0009538,0.0009538
9,82.1004,1.2948,2.72463,2.20271,1.45905,0.21255,0.28659,0.15834,0.08509,0.14867,0.22365,0.11667,0.06426,1.63444,3.21503,2.85546,1.93198,0.0009472,0.0009472,0.0009472
10,90.9282,1.29514,2.64995,2.13141,1.45238,0.2657,0.19254,0.1628,0.08593,0.1242,0.24104,0.12936,0.06554,1.58019,3.13947,2.77036,1.9207,0.0009406,0.0009406,0.0009406
11,100.129,1.2176,2.56866,2.05848,1.41791,0.20055,0.26192,0.17891,0.08966,0.17943,0.23044,0.14404,0.06345,1.68268,3.19566,2.89451,1.92446,0.000934,0.000934,0.000934
12,111.116,1.22421,2.5811,2.00716,1.40521,0.4184,0.2774,0.20211,0.11336,0.36117,0.21183,0.14564,0.0773,1.65654,3.09281,2.75719,1.92773,0.0009274,0.0009274,0.0009274
13,127.111,1.20489,2.4498,1.94074,1.37565,0.34529,0.32275,0.19232,0.11519,0.38167,0.2339,0.1684,0.09275,1.55479,3.11912,2.87885,1.81369,0.0009208,0.0009208,0.0009208
14,143.045,1.15825,2.3822,1.80805,1.34844,0.27037,0.25604,0.21468,0.12798,0.32672,0.20061,0.20201,0.10212,1.53055,2.8164,2.49258,1.81208,0.0009142,0.0009142,0.0009142
15,159.367,1.15061,2.4107,1.81392,1.35543,0.28212,0.18583,0.16634,0.1037,0.27543,0.17102,0.14376,0.08656,1.58378,2.97899,2.91782,1.85446,0.0009076,0.0009076,0.0009076
16,175.466,1.15181,2.40166,1.8156,1.35456,0.21013,0.30742,0.17901,0.10795,0.18887,0.27729,0.14406,0.07534,1.55852,3.16668,2.77477,1.79752,0.000901,0.000901,0.000901
17,191.577,1.14893,2.3834,1.8016,1.35845,0.21783,0.26633,0.19755,0.11332,0.19685,0.23396,0.17574,0.09184,1.59211,2.87211,2.57714,1.87283,0.0008944,0.0008944,0.0008944
18,207.538,1.11564,2.27453,1.74523,1.32655,0.17622,0.29529,0.16711,0.10167,0.14397,0.24225,0.12197,0.06963,1.62883,3.20331,2.64825,1.88004,0.0008878,0.0008878,0.0008878
19,223.374,1.09924,2.25655,1.68903,1.33159,0.52162,0.21544,0.28169,0.16528,0.4847,0.20133,0.25002,0.12834,1.51822,2.95091,2.42231,1.772,0.0008812,0.0008812,0.0008812
20,239.152,1.0828,2.27877,1.66737,1.30801,0.2181,0.33509,0.22109,0.12935,0.21391,0.26671,0.16635,0.08568,1.56116,3.51532,2.55843,1.86191,0.0008746,0.0008746,0.0008746
21,255.058,1.09281,2.24003,1.65878,1.31846,0.24434,0.32451,0.20337,0.11633,0.26475,0.25198,0.16344,0.0899,1.59292,3.12252,2.57635,1.85382,0.000868,0.000868,0.000868
22,271.051,1.06417,2.25514,1.64902,1.32887,0.30082,0.22176,0.19953,0.12432,0.31053,0.21649,0.18382,0.10752,1.56138,3.04132,2.67268,1.8101,0.0008614,0.0008614,0.0008614
23,287.712,1.09624,2.24892,1.61293,1.32388,0.3492,0.28835,0.254,0.15862,0.32356,0.27252,0.22284,0.12145,1.52056,2.77408,2.41325,1.80807,0.0008548,0.0008548,0.0008548
24,304.197,1.0868,2.20167,1.59805,1.30835,0.22872,0.31743,0.22257,0.13539,0.21493,0.29856,0.20041,0.11188,1.50434,2.94701,2.50207,1.77408,0.0008482,0.0008482,0.0008482
25,320.473,1.02046,2.09692,1.50618,1.26902,0.31286,0.27174,0.24451,0.15288,0.46503,0.20539,0.20075,0.12536,1.59445,2.97331,2.486,1.84083,0.0008416,0.0008416,0.0008416
26,336.801,1.02783,2.11562,1.4919,1.28384,0.23165,0.25805,0.21884,0.14137,0.21007,0.22183,0.19897,0.1218,1.55546,2.82077,2.48947,1.81143,0.000835,0.000835,0.000835
27,349.503,1.02585,2.14618,1.49436,1.26988,0.4679,0.27433,0.2788,0.17802,0.44352,0.24784,0.23846,0.14577,1.48292,2.75469,2.4869,1.82442,0.0008284,0.0008284,0.0008284
28,359.221,1.00699,2.07198,1.45285,1.26881,0.30658,0.25952,0.25301,0.16642,0.24998,0.21983,0.19007,0.11467,1.53194,3.07654,2.42865,1.89265,0.0008218,0.0008218,0.0008218
29,368.894,1.02309,2.09575,1.43685,1.26255,0.24649,0.32598,0.23446,0.14279,0.23546,0.23706,0.18232,0.11136,1.45346,2.95197,2.59641,1.71402,0.0008152,0.0008152,0.0008152
30,378.636,1.00697,2.01759,1.43554,1.25959,0.28665,0.24923,0.18862,0.11637,0.25828,0.23861,0.1602,0.08598,1.54394,3.20441,2.69876,1.79882,0.0008086,0.0008086,0.0008086
31,389.917,1.01477,2.05389,1.38786,1.2647,0.31578,0.22865,0.22981,0.16246,0.2821,0.2107,0.20066,0.1257,1.45718,3.23617,2.49862,1.77154,0.000802,0.000802,0.000802
32,406.43,0.97161,1.97195,1.34684,1.23014,0.17147,0.337,0.1927,0.1093,0.1555,0.30289,0.1602,0.0879,1.52547,3.00849,2.77105,1.79312,0.0007954,0.0007954,0.0007954
33,423.021,1.00819,2.04855,1.41881,1.25787,0.23725,0.21062,0.19388,0.12323,0.23011,0.18115,0.16657,0.10222,1.57767,2.97638,2.71068,1.8943,0.0007888,0.0007888,0.0007888
34,439.77,0.98185,2.01148,1.31276,1.23547,0.35766,0.26331,0.23941,0.161,0.33543,0.23984,0.20798,0.14119,1.432,2.93465,2.62255,1.75305,0.0007822,0.0007822,0.0007822
35,456.298,0.96799,1.92,1.30882,1.24038,0.25242,0.34851,0.22871,0.15807,0.21888,0.32018,0.19817,0.12936,1.51099,3.05638,2.5672,1.79688,0.0007756,0.0007756,0.0007756
36,472.879,0.95514,1.93406,1.25199,1.2162,0.55535,0.27073,0.28132,0.18275,0.53896,0.26613,0.25346,0.15459,1.47875,2.96307,2.52393,1.78165,0.000769,0.000769,0.000769
37,489.46,0.95761,1.9202,1.2474,1.22706,0.35035,0.22539,0.24147,0.17206,0.30006,0.19306,0.19462,0.11903,1.50807,2.95775,2.72563,1.77562,0.0007624,0.0007624,0.0007624
38,505.983,0.9529,1.91114,1.23295,1.22216,0.34,0.30189,0.28724,0.17664,0.37632,0.21388,0.21896,0.14943,1.50832,3.04165,2.57427,1.79373,0.0007558,0.0007558,0.0007558
