epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1299.57,1.15363,2.78408,1.6918,1.3678,0.46528,0.38056,0.35735,0.25591,0.4379,0.31907,0.2854,0.18674,1.23647,2.79227,1.93995,1.5023,0.008086,0.008086,0.008086
31,1341.27,1.14425,2.77995,1.65356,1.36344,0.38906,0.39693,0.34826,0.25341,0.34916,0.33989,0.28128,0.18074,1.24238,2.85238,1.93701,1.50296,0.00802,0.00802,0.00802
32,1383.41,1.14936,2.78256,1.6439,1.35969,0.40974,0.41702,0.34409,0.24688,0.36432,0.35656,0.282,0.17603,1.25912,2.79279,1.96685,1.5102,0.007954,0.007954,0.007954
33,1425.98,1.14614,2.78788,1.63986,1.36582,0.46646,0.37175,0.35545,0.25373,0.4058,0.31858,0.27998,0.17885,1.23614,2.86845,1.96994,1.51252,0.007888,0.007888,0.007888
34,1469.26,1.13789,2.75663,1.61811,1.34895,0.40592,0.39445,0.34068,0.24903,0.35935,0.32956,0.26479,0.16779,1.21729,2.82741,1.99214,1.48183,0.007822,0.007822,0.007822
35,1512.89,1.13734,2.73773,1.60393,1.35075,0.48423,0.38367,0.37089,0.26892,0.43863,0.33268,0.30285,0.19421,1.23817,2.78831,1.93409,1.4947,0.007756,0.007756,0.007756
36,1556.28,1.12162,2.73412,1.59332,1.3464,0.43847,0.39605,0.35667,0.26067,0.39799,0.35342,0.30195,0.19453,1.22244,2.77204,1.9492,1.48729,0.00769,0.00769,0.00769
37,1598.95,1.12254,2.70058,1.57125,1.34256,0.48358,0.3887,0.37138,0.2718,0.42965,0.34334,0.30671,0.19693,1.22135,2.83019,1.91983,1.4907,0.007624,0.007624,0.007624
38,1642.72,1.12275,2.6965,1.58468,1.34383,0.48628,0.36116,0.35909,0.26145,0.42035,0.33696,0.30039,0.19347,1.22319,2.80271,1.96324,1.49843,0.007558,0.007558,0.007558
39,1687.34,1.10459,2.66523,1.55147,1.32993,0.49599,0.36403,0.37838,0.27384,0.44023,0.33198,0.31456,0.19952,1.22625,2.85234,1.90223,1.48912,0.007492,0.007492,0.007492
40,1731.81,1.10877,2.65491,1.53687,1.32983,0.45373,0.41277,0.37563,0.26953,0.408,0.35202,0.30388,0.19571,1.23889,2.89366,1.91901,1.48207,0.007426,0.007426,0.007426
41,1776.25,1.10747,2.68928,1.52576,1.32793,0.42737,0.37111,0.34433,0.24535,0.43051,0.30744,0.28043,0.17729,1.23291,2.82825,1.98674,1.49941,0.00736,0.00736,0.00736
42,1820.46,1.10227,2.64262,1.51539,1.33555,0.4554,0.39815,0.37609,0.2716,0.44585,0.32095,0.30302,0.19257,1.23115,2.88255,1.91595,1.48522,0.007294,0.007294,0.007294
43,1862.95,1.10336,2.6328,1.51469,1.32776,0.44615,0.40926,0.37465,0.2682,0.38055,0.35124,0.28806,0.18176,1.21906,2.79592,1.9378,1.47517,0.007228,0.007228,0.007228
44,1906.54,1.07929,2.59098,1.49881,1.31376,0.45943,0.39847,0.36707,0.26632,0.40195,0.3377,0.29042,0.18386,1.2053,2.80031,1.93124,1.46303,0.007162,0.007162,0.007162
45,1950.94,1.08416,2.58353,1.47178,1.31225,0.47922,0.38826,0.37251,0.27218,0.41889,0.33407,0.29724,0.19218,1.20363,2.80834,1.88365,1.46221,0.007096,0.007096,0.007096
46,1996.12,1.08723,2.62081,1.46791,1.31411,0.46236,0.36911,0.36347,0.26465,0.43097,0.31331,0.28542,0.18474,1.19842,2.79899,1.95548,1.45907,0.00703,0.00703,0.00703
47,2040.65,1.08461,2.61483,1.46368,1.31664,0.50342,0.40072,0.38634,0.27641,0.43421,0.3425,0.30731,0.19453,1.22462,2.85757,1.91758,1.48647,0.006964,0.006964,0.006964
48,2085.43,1.08282,2.56932,1.45688,1.31104,0.45147,0.38505,0.36876,0.26405,0.38969,0.32546,0.28472,0.18678,1.21569,2.84656,1.90589,1.47893,0.006898,0.006898,0.006898
49,2130.52,1.08573,2.59714,1.43441,1.31452,0.46774,0.41208,0.38412,0.27639,0.40999,0.34612,0.31073,0.19218,1.20065,2.81891,1.88614,1.46361,0.006832,0.006832,0.006832
50,2174.52,1.07122,2.55409,1.43251,1.30471,0.43003,0.40831,0.36804,0.26666,0.39022,0.34408,0.29841,0.19472,1.21592,2.7678,1.89136,1.46901,0.006766,0.006766,0.006766
51,2218.88,1.06303,2.55282,1.4166,1.29863,0.47332,0.40067,0.38282,0.27615,0.42078,0.34217,0.30083,0.19149,1.19295,2.8527,1.87328,1.45925,0.0067,0.0067,0.0067
52,2264.14,1.06966,2.60489,1.43248,1.29833,0.44703,0.41515,0.38803,0.27677,0.39475,0.35217,0.30218,0.19842,1.20696,2.83229,1.88638,1.46219,0.006634,0.006634,0.006634
53,2308.16,1.04667,2.53492,1.38732,1.28053,0.4646,0.38857,0.37138,0.27428,0.40931,0.34007,0.3019,0.19034,1.2012,2.83643,1.91357,1.44966,0.006568,0.006568,0.006568
54,2353.17,1.05491,2.52528,1.39486,1.28761,0.4438,0.41585,0.37621,0.27278,0.43094,0.32788,0.29689,0.19158,1.20642,2.84489,1.92221,1.47087,0.006502,0.006502,0.006502
55,2397.46,1.06968,2.56917,1.42689,1.29684,0.46217,0.39148,0.37065,0.26723,0.44422,0.32802,0.29648,0.18882,1.19803,2.80283,1.93023,1.45673,0.006436,0.006436,0.006436
56,2441.62,1.05653,2.49835,1.36749,1.28628,0.44166,0.39423,0.36091,0.26242,0.40368,0.33769,0.29401,0.18408,1.20542,2.84559,1.94293,1.46809,0.00637,0.00637,0.00637
57,2486.38,1.0499,2.51049,1.37725,1.28874,0.47955,0.40702,0.38199,0.27943,0.4271,0.34296,0.30294,0.19512,1.19627,2.79233,1.87419,1.45171,0.006304,0.006304,0.006304
58,2530.28,1.04968,2.51869,1.38221,1.29081,0.46231,0.38673,0.36672,0.2678,0.40614,0.33692,0.29321,0.18737,1.21115,2.7871,1.93187,1.46948,0.006238,0.006238,0.006238
59,2575.15,1.03747,2.49507,1.33898,1.27777,0.45703,0.3948,0.37435,0.27959,0.40455,0.34106,0.30318,0.19195,1.17299,2.84156,1.89417,1.43649,0.006172,0.006172,0.006172
